match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Hungary vs Portugal,2-3,1.88,2.72,2.15,2.63,Over 3.5 (@1.969),0.9690000000000001,away -1.0 (@2.283),1.283
Portugal vs Ireland,1-0,2.65,1.69,2.56,1.29,Over 3.5 (@2.351),-1.0,home -1.0 (@2.143),-1.0
Portugal vs Hungary,2-2,2.7,0.48,2.62,0.55,Over 2.25 (@2.203),1.2029999999999998,home -2.5 (@2.442),-1.0
Ireland vs Portugal,2-0,1.21,2.8,0.76,2.7,Over 3.0 (@2.086),-1.0,away -1.5 (@2.01),-1.0
Portugal vs Armenia,9-1,2.35,0.19,2.23,0.19,Over 1.5 (@2.045),1.045,away 2.0 (@2.283),-1.0
Mexico vs Colombia,0-4,1.44,1.68,1.22,1.58,Over 2.25 (@2.299),1.299,home 0.5 (@1.858),-1.0
Canada vs Colombia,0-0,1.18,1.65,1.08,1.58,Over 2.0 (@2.368),-1.0,home 0.5 (@2.069),1.069
Colombia vs Croatia,1-2,1.52,2.18,1.42,1.25,Over 2.75 (@2.172),1.1720000000000002,home 0.5 (@2.283),-1.0
Colombia vs Costa Rica,3-1,1.54,0.82,1.5,0.52,Over 1.5 (@2.316),1.3159999999999998,home -0.5 (@1.892),0.8919999999999999
Congo DR vs Benin,1-0,1.32,1.22,1.45,1.22,Over 1.5 (@2.045),-1.0,home 0.0 (@2.0),1.0
Senegal vs Congo DR,1-1,1.13,1.41,0.96,1.47,Over 1.5 (@2.045),1.045,home 0.5 (@1.892),0.8919999999999999
Congo DR vs Jamaica,1-0,1.33,1.17,1.46,1.17,Over 1.5 (@2.1),-1.0,home 0.0 (@1.944),0.944
Congo DR vs Đan Mạch,0-0,1.43,1.77,1.56,2.28,Over 2.25 (@2.172),-1.0,home 0.5 (@1.944),0.944
Uzbekistan vs Gabon,3-1,0.68,0.87,0.99,0.87,,0.0,home 0.5 (@1.818),0.8180000000000001
Uzbekistan vs Venezuela,0-0,0.68,0.63,0.99,0.92,,0.0,home 0.0 (@2.049),-1.0
Quần đảo Faroe vs Croatia,0-1,0.57,2.03,0.68,1.24,Over 1.5 (@1.969),-1.0,away -1.5 (@2.143),1.1429999999999998
Croatia vs Montenegro,4-0,1.95,0.98,1.21,1.47,Over 2.0 (@2.203),1.2029999999999998,away 1.0 (@2.069),-1.0
Croatia vs Gibraltar,3-0,1.91,0.0,1.18,0.0,Over 2.25 (@2.316),1.3159999999999998,home -1.0 (@2.456),1.456
Croatia vs Quần đảo Faroe,3-1,2.02,0.86,1.24,1.13,Over 2.0 (@2.283),1.283,away 1.0 (@2.283),-1.0
Montenegro vs Croatia,2-3,0.16,2.02,0.24,1.24,,0.0,away -2.0 (@2.258),1.258
England vs Wales,3-0,2.06,1.53,1.66,1.26,Over 2.75 (@2.351),1.351,home -0.5 (@2.069),1.069
England vs Serbia,2-0,2.32,0.7,1.87,0.43,Over 2.25 (@2.48),-1.0,home -1.5 (@1.981),0.9810000000000001
Ghana vs Comoros,1-0,0.47,1.29,0.67,1.29,,0.0,home 0.5 (@2.5),1.5
Wales vs Ghana,1-1,1.25,0.28,1.21,0.39,,0.0,home -1.0 (@2.132),-1.0
El Salvador vs Panama,0-1,0.6,1.06,0.7,0.66,,0.0,home 0.5 (@2.059),-1.0
Guatemala vs Panama,2-3,0.11,1.13,0.15,0.71,,0.0,away -1.0 (@2.079),1.0790000000000002
Panama vs El Salvador,3-0,0.8,0.86,0.51,1.06,,0.0,home 0.0 (@2.165),1.165
Panama vs Mexico,0-1,1.17,1.43,0.73,1.23,Over 1.5 (@1.969),-1.0,away 0 (@1.858),0.8580000000000001
